"filename", "language", "PHP", "CSS", "YAML", "JSON", "Docker", "Ignore", "JavaScript", "XML", "Markdown", "comment", "blank", "total"
"u:\Projects\Laravel Projects\URLShortener\config\queue.php", "PHP", 52, 0, 0, 0, 0, 0, 0, 0, 0, 44, 17, 113
"u:\Projects\Laravel Projects\URLShortener\config\sanctum.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 53, 14, 84
"u:\Projects\Laravel Projects\URLShortener\config\scout.php", "PHP", 50, 0, 0, 0, 0, 0, 0, 0, 0, 137, 23, 210
"u:\Projects\Laravel Projects\URLShortener\config\services.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 11, 8, 39
"u:\Projects\Laravel Projects\URLShortener\config\session.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 160, 35, 218
"u:\Projects\Laravel Projects\URLShortener\database\factories\UserFactory.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 14, 6, 45
"u:\Projects\Laravel Projects\URLShortener\database\migrations\0001_01_01_000000_create_users_table.php", "PHP", 37, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 49
"u:\Projects\Laravel Projects\URLShortener\database\migrations\0001_01_01_000001_create_cache_table.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 36
"u:\Projects\Laravel Projects\URLShortener\database\migrations\0001_01_01_000002_create_jobs_table.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 58
"u:\Projects\Laravel Projects\URLShortener\database\migrations\2025_03_05_032009_create_shortened_u_r_ls_table.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 30
"u:\Projects\Laravel Projects\URLShortener\database\migrations\2025_03_09_052818_add_is__premium_to_users.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 33
"u:\Projects\Laravel Projects\URLShortener\database\migrations\2025_03_09_173558_add_premium_features_to_urls.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 37
"u:\Projects\Laravel Projects\URLShortener\database\migrations\2025_03_10_002623_create_guest_short_u_r_ls_table.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 33
"u:\Projects\Laravel Projects\URLShortener\database\migrations\2025_03_10_165923_remove_unique_constraint_from_shortened_u_r_ls.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 32
"u:\Projects\Laravel Projects\URLShortener\database\migrations\2025_03_13_194813_add_avatar_to_users_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 31
"u:\Projects\Laravel Projects\URLShortener\database\migrations\2025_03_27_213202_create_personal_access_tokens_table.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 34
"u:\Projects\Laravel Projects\URLShortener\database\seeders\DatabaseSeeder.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 24
"u:\Projects\Laravel Projects\URLShortener\package-lock.json", "JSON", 0, 0, 0, 2168, 0, 0, 0, 0, 0, 0, 1, 2169
"u:\Projects\Laravel Projects\URLShortener\package.json", "JSON", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 20
"u:\Projects\Laravel Projects\URLShortener\phpunit.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 31, 0, 2, 1, 34
"u:\Projects\Laravel Projects\URLShortener\public\build\assets\app-C0GD_Dol.js", "JavaScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"u:\Projects\Laravel Projects\URLShortener\public\build\assets\app-C7Ljw2yX.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"u:\Projects\Laravel Projects\URLShortener\public\build\manifest.json", "JSON", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 13
"u:\Projects\Laravel Projects\URLShortener\public\index.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 21
"u:\Projects\Laravel Projects\URLShortener\resources\css\app.css", "CSS", 0, 147, 0, 0, 0, 0, 0, 0, 0, 3, 25, 175
"u:\Projects\Laravel Projects\URLShortener\resources\js\app.js", "JavaScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 5, 2, 9
"u:\Projects\Laravel Projects\URLShortener\resources\js\bootstrap.js", "JavaScript", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"u:\Projects\Laravel Projects\URLShortener\resources\js\live-search.js", "JavaScript", 0, 0, 0, 0, 0, 0, 109, 0, 0, 3, 18, 130
"u:\Projects\Laravel Projects\URLShortener\resources\views\404.blade.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"u:\Projects\Laravel Projects\URLShortener\resources\views\DailyAdminEmail.blade.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
